Region,Country,Item Type
Europe,Andorra,Meat
Asia,China,Clothes
Central America and the Caribbean,Panama,Meat
Australia and Oceania,Tonga,Baby Food
Europe,Finland,Meat
Sub-Saharan Africa,Senegal,Beverages
Asia,Maldives,Meat
Europe,Montenegro,Beverages
Sub-Saharan Africa,Guinea,Vegetables
Sub-Saharan Africa,Lesotho,Cosmetics
Central America and the Caribbean,Dominican Republic,Office Supplies
Middle East and North Africa,Jordan,Meat
Australia and Oceania,Papua New Guinea,Cosmetics
Middle East and North Africa,Libya,Household
Central America and the Caribbean,Cuba,Meat
Central America and the Caribbean,Saint Kitts and Nevis ,Baby Food
Europe,Finland,Vegetables
North America,Greenland,Personal Care
Europe,Netherlands,Baby Food
Middle East and North Africa,Kuwait,Meat
Europe,Belgium,Beverages
Middle East and North Africa,Egypt,Fruits
Central America and the Caribbean,Dominican Republic,Cosmetics
Middle East and North Africa,United Arab Emirates,Fruits
Middle East and North Africa,Syria,Vegetables
Europe,United Kingdom,Clothes
Europe,Monaco,Cereal
Middle East and North Africa,Syria,Meat
Central America and the Caribbean,Dominica,Personal Care
Australia and Oceania,Tuvalu,Vegetables
Europe,Iceland,Baby Food
Central America and the Caribbean,Antigua and Barbuda ,Personal Care
Sub-Saharan Africa,Cote d'Ivoire,Cereal
Australia and Oceania,Tuvalu,Vegetables
Sub-Saharan Africa,Mauritius ,Fruits
Central America and the Caribbean,El Salvador,Meat
Asia,Maldives,Snacks
Australia and Oceania,Australia,Snacks
Middle East and North Africa,Iran,Beverages
Sub-Saharan Africa,Guinea,Personal Care
Asia,Japan,Fruits
Middle East and North Africa,Kuwait,Cereal
Sub-Saharan Africa,Rwanda,Vegetables
Europe,Slovenia,Cereal
Asia,Cambodia,Meat
Middle East and North Africa,Morocco,Vegetables
Middle East and North Africa,Somalia,Household
Middle East and North Africa,Azerbaijan,Cosmetics
Europe,Moldova ,Clothes
Europe,Italy,Snacks
Sub-Saharan Africa,Ghana,Cosmetics
Middle East and North Africa,Israel,Cereal
Sub-Saharan Africa,Benin,Fruits
Asia,Taiwan,Clothes
Sub-Saharan Africa,Mozambique,Baby Food
Australia and Oceania,Samoa ,Cereal
Middle East and North Africa,Afghanistan,Cosmetics
Sub-Saharan Africa,Mauritania,Fruits
Sub-Saharan Africa,Mozambique,Office Supplies
Australia and Oceania,Fiji,Fruits
Europe,Albania,Snacks
Sub-Saharan Africa,South Sudan,Household
Middle East and North Africa,Egypt,Personal Care
Europe,Portugal,Beverages
Europe,Netherlands,Office Supplies
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics
Europe,Albania,Clothes
Australia and Oceania,Papua New Guinea,Vegetables
Asia,Maldives,Cereal
Sub-Saharan Africa,Gabon,Baby Food
North America,Greenland,Fruits
Sub-Saharan Africa,Sierra Leone,Personal Care
Central America and the Caribbean,Costa Rica,Cereal
Europe,Hungary,Fruits
Europe,Greece,Cereal
Central America and the Caribbean,The Bahamas,Baby Food
Europe,Estonia,Personal Care
Australia and Oceania,Tonga,Vegetables
Middle East and North Africa,Egypt,Household
Europe,Norway,Clothes
Sub-Saharan Africa,Kenya,Baby Food
Asia,Bangladesh,Vegetables
Europe,France,Cereal
Australia and Oceania,Marshall Islands,Cereal
Europe,Bosnia and Herzegovina,Vegetables
Sub-Saharan Africa,Namibia,Meat
Europe,Croatia,Household
Europe,Norway,Cosmetics
Europe,Croatia,Snacks
Sub-Saharan Africa,Sierra Leone,Cereal
Europe,Russia,Meat
Europe,Ireland,Fruits
Middle East and North Africa,Pakistan,Snacks
North America,Canada,Vegetables
Middle East and North Africa,Qatar,Beverages
Asia,Turkmenistan,Personal Care
Europe,Moldova ,Meat
Middle East and North Africa,Pakistan,Vegetables
Australia and Oceania,Tuvalu,Cereal
Asia,Sri Lanka,Office Supplies
Europe,Finland,Baby Food
Europe,France,Office Supplies
Middle East and North Africa,Bahrain,Fruits
Sub-Saharan Africa,Cote d'Ivoire,Snacks
Europe,Hungary,Personal Care
Europe,Bulgaria,Clothes
Middle East and North Africa,Afghanistan,Personal Care
Europe,Kosovo,Cosmetics
Australia and Oceania,Australia,Meat
Europe,United Kingdom,Personal Care
Europe,Germany,Office Supplies
Europe,Spain,Personal Care
Europe,Latvia,Baby Food
Europe,Italy,Cosmetics
Middle East and North Africa,Lebanon,Snacks
Europe,Romania,Vegetables
Middle East and North Africa,Lebanon,Cosmetics
Europe,Bosnia and Herzegovina,Household
Asia,Maldives,Cereal
Sub-Saharan Africa,Cape Verde,Personal Care
Sub-Saharan Africa,Ethiopia,Vegetables
Sub-Saharan Africa,Cape Verde,Fruits
Europe,Kosovo,Office Supplies
Central America and the Caribbean,Dominican Republic,Personal Care
Europe,Monaco,Household
Australia and Oceania,Federated States of Micronesia,Fruits
Central America and the Caribbean,The Bahamas,Cereal
Central America and the Caribbean,Barbados,Personal Care
Sub-Saharan Africa,Burkina Faso,Office Supplies
Europe,Slovakia,Snacks
Australia and Oceania,Samoa ,Fruits
Asia,Cambodia,Clothes
Sub-Saharan Africa,South Sudan,Clothes
Sub-Saharan Africa,Chad,Cosmetics
Asia,South Korea,Cereal
Europe,Georgia,Office Supplies
Europe,Montenegro,Baby Food
Asia,Cambodia,Personal Care
Middle East and North Africa,Lebanon,Beverages
Australia and Oceania,Tonga,Personal Care
Sub-Saharan Africa,Guinea,Fruits
Sub-Saharan Africa,Mozambique,Cosmetics
Sub-Saharan Africa,Mauritius ,Beverages
Europe,Cyprus,Household
Europe,Andorra,Snacks
North America,Canada,Fruits
Europe,Croatia,Vegetables
Sub-Saharan Africa,The Gambia,Snacks
Europe,Greece,Snacks
North America,United States of America,Baby Food
Asia,Philippines,Vegetables
Sub-Saharan Africa,Chad,Fruits
Europe,Netherlands,Personal Care
Europe,Armenia,Household
Central America and the Caribbean,Costa Rica,Cosmetics
Central America and the Caribbean,Costa Rica,Fruits
Sub-Saharan Africa,Zimbabwe,Fruits
Asia,Uzbekistan,Meat
Middle East and North Africa,Afghanistan,Baby Food
Sub-Saharan Africa,Ghana,Snacks
Middle East and North Africa,Jordan,Cosmetics
Europe,Ukraine,Personal Care
Middle East and North Africa,Pakistan,Cosmetics
Sub-Saharan Africa,Cameroon,Meat
Sub-Saharan Africa,Botswana,Vegetables
Sub-Saharan Africa,Niger,Fruits
Middle East and North Africa,Morocco,Clothes
Sub-Saharan Africa,Ethiopia,Fruits
Sub-Saharan Africa,Guinea,Cosmetics
Europe,Slovakia,Household
Europe,Ukraine,Cereal
Europe,Georgia,Office Supplies
Sub-Saharan Africa,Sudan,Clothes
Sub-Saharan Africa,Swaziland,Cereal
North America,Mexico,Fruits
Sub-Saharan Africa,Uganda,Cereal
Europe,Malta,Office Supplies
Europe,Netherlands,Household
Sub-Saharan Africa,Central African Republic,Household
Sub-Saharan Africa,Mauritania,Household
Sub-Saharan Africa,Madagascar,Vegetables
Central America and the Caribbean,The Bahamas,Clothes
Europe,Kosovo,Office Supplies
Europe,Serbia,Fruits
Europe,Lithuania,Household
Central America and the Caribbean,Panama,Office Supplies
Asia,China,Household
Europe,Cyprus,Cereal
Sub-Saharan Africa,Angola,Household
Asia,Mongolia,Baby Food
Asia,Bhutan,Clothes
Sub-Saharan Africa,Djibouti,Office Supplies
Australia and Oceania,Papua New Guinea,Household
Europe,Bulgaria,Household
Sub-Saharan Africa,Eritrea,Snacks
Asia,Thailand,Office Supplies
Sub-Saharan Africa,Equatorial Guinea,Household
Sub-Saharan Africa,Cote d'Ivoire,Personal Care
Central America and the Caribbean,Panama,Cosmetics
Sub-Saharan Africa,Uganda,Office Supplies
Europe,Greece,Cereal
Sub-Saharan Africa,Cote d'Ivoire,Baby Food
Asia,Philippines,Baby Food
Europe,San Marino,Office Supplies
Middle East and North Africa,United Arab Emirates,Cereal
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits
North America,Canada,Office Supplies
Middle East and North Africa,Tunisia ,Snacks
Sub-Saharan Africa,Niger,Snacks
Asia,Tajikistan,Office Supplies
Europe,France,Clothes
Central America and the Caribbean,Panama,Snacks
Europe,Slovenia,Personal Care
Europe,Denmark,Clothes
Australia and Oceania,Federated States of Micronesia,Fruits
Asia,China,Personal Care
Central America and the Caribbean,Panama,Meat
Sub-Saharan Africa,Gabon,Meat
Sub-Saharan Africa,Equatorial Guinea,Baby Food
Sub-Saharan Africa,Niger,Vegetables
Sub-Saharan Africa,Burkina Faso,Beverages
Sub-Saharan Africa,Malawi,Snacks
Asia,Thailand,Vegetables
Europe,Romania,Vegetables
Asia,Cambodia,Beverages
Sub-Saharan Africa,South Africa,Baby Food
Europe,United Kingdom,Office Supplies
Europe,Denmark,Clothes
Asia,Laos,Snacks
Europe,Ireland,Fruits
Europe,Czech Republic,Office Supplies
Sub-Saharan Africa,Namibia,Snacks
Middle East and North Africa,Pakistan,Snacks
Sub-Saharan Africa,Cote d'Ivoire,Clothes
Australia and Oceania,Marshall Islands,Household
Europe,Iceland,Snacks
Sub-Saharan Africa,Uganda,Cosmetics
Europe,Cyprus,Household
Sub-Saharan Africa,Lesotho,Vegetables
Europe,Hungary,Snacks
Europe,Ukraine,Baby Food
Central America and the Caribbean,Belize,Office Supplies
Middle East and North Africa,United Arab Emirates,Household
Middle East and North Africa,Oman,Fruits
Europe,Poland,Personal Care
Sub-Saharan Africa,South Africa,Baby Food
Sub-Saharan Africa,Guinea,Snacks
Europe,Denmark,Cosmetics
Asia,Turkmenistan,Cosmetics
Central America and the Caribbean,Saint Kitts and Nevis ,Snacks
Sub-Saharan Africa,Republic of the Congo,Cereal
Asia,Sri Lanka,Snacks
Australia and Oceania,Nauru,Beverages
Europe,Armenia,Beverages
Europe,Ukraine,Household
Australia and Oceania,Palau,Meat
Europe,Czech Republic,Cereal
Middle East and North Africa,Lebanon,Household
Central America and the Caribbean,Belize,Household
Europe,Belgium,Vegetables
Sub-Saharan Africa,Angola,Snacks
Sub-Saharan Africa,Malawi,Cosmetics
Europe,Andorra,Meat
Europe,United Kingdom,Personal Care
Europe,Georgia,Office Supplies
Europe,Spain,Household
Asia,South Korea,Cosmetics
Asia,Indonesia,Office Supplies
Sub-Saharan Africa,Mauritius ,Cereal
Sub-Saharan Africa,Burundi,Meat
Europe,Bulgaria,Cereal
Middle East and North Africa,Tunisia ,Cosmetics
Europe,Poland,Baby Food
Sub-Saharan Africa,Guinea-Bissau,Household
Europe,Montenegro,Office Supplies
Central America and the Caribbean,Belize,Baby Food
Sub-Saharan Africa,Burundi,Meat
Middle East and North Africa,Iraq,Personal Care
Sub-Saharan Africa,Senegal,Fruits
Europe,Liechtenstein,Cereal
Sub-Saharan Africa,Tanzania,Household
Europe,Belarus,Office Supplies
Australia and Oceania,Palau,Baby Food
Middle East and North Africa,Algeria,Household
Europe,Spain,Clothes
North America,Canada,Vegetables
Middle East and North Africa,Egypt,Clothes
Middle East and North Africa,Qatar,Beverages
Sub-Saharan Africa,Uganda,Beverages
Europe,Belarus,Personal Care
Sub-Saharan Africa,South Sudan,Snacks
Asia,Indonesia,Cosmetics
Europe,United Kingdom,Personal Care
Australia and Oceania,Tuvalu,Office Supplies
Europe,Spain,Vegetables
Australia and Oceania,Samoa ,Personal Care
Sub-Saharan Africa,Ethiopia,Clothes
Asia,India,Baby Food
Europe,Monaco,Meat
Europe,Portugal,Office Supplies
Australia and Oceania,Vanuatu,Clothes
Sub-Saharan Africa,Mauritius ,Meat
Asia,Nepal,Household
Sub-Saharan Africa,Tanzania,Clothes
Sub-Saharan Africa,Benin,Snacks
Sub-Saharan Africa,Gabon,Vegetables
Sub-Saharan Africa,Sudan,Beverages
Sub-Saharan Africa,Cameroon,Baby Food
Middle East and North Africa,Iran,Cereal
Middle East and North Africa,Tunisia ,Meat
Middle East and North Africa,Libya,Meat
Middle East and North Africa,Somalia,Fruits
Sub-Saharan Africa,Zimbabwe,Beverages
Sub-Saharan Africa,Comoros,Vegetables
Europe,San Marino,Clothes
Australia and Oceania,New Zealand,Clothes
Europe,Bosnia and Herzegovina,Vegetables
North America,Mexico,Cereal
Asia,Myanmar,Household
Middle East and North Africa,Turkey,Household
Sub-Saharan Africa,Ethiopia,Household
Middle East and North Africa,Algeria,Snacks
Europe,Poland,Household
North America,Canada,Vegetables
Central America and the Caribbean,Saint Lucia,Cereal
Australia and Oceania,Federated States of Micronesia,Beverages
Australia and Oceania,Tonga,Beverages
Middle East and North Africa,Kuwait,Beverages
Europe,Lithuania,Beverages
Europe,Denmark,Personal Care
Asia,Mongolia,Personal Care
Central America and the Caribbean,Saint Vincent and the Grenadines,Household
Europe,Monaco,Fruits
Sub-Saharan Africa,Comoros,Beverages
Middle East and North Africa,Afghanistan,Baby Food
Europe,Bulgaria,Household
Asia,Vietnam,Office Supplies
Europe,Slovenia,Cosmetics
Central America and the Caribbean,El Salvador,Cosmetics
Central America and the Caribbean,Belize,Vegetables
Australia and Oceania,Fiji,Personal Care
Asia,Myanmar,Household
Sub-Saharan Africa,Namibia,Personal Care
Sub-Saharan Africa,Rwanda,Clothes
Middle East and North Africa,Libya,Beverages
Sub-Saharan Africa,Tanzania,Personal Care
Middle East and North Africa,Tunisia ,Fruits
North America,Greenland,Cosmetics
Europe,Ireland,Clothes
Europe,Cyprus,Cereal
Europe,Albania,Office Supplies
Asia,North Korea,Clothes
Sub-Saharan Africa,Senegal,Cosmetics
Sub-Saharan Africa,Guinea-Bissau,Office Supplies
Europe,Belgium,Office Supplies
Sub-Saharan Africa,Madagascar,Snacks
Asia,Indonesia,Meat
Sub-Saharan Africa,Benin,Clothes
Sub-Saharan Africa,Equatorial Guinea,Vegetables
Middle East and North Africa,Iraq,Personal Care
Europe,Denmark,Snacks
Europe,Latvia,Office Supplies
Australia and Oceania,Tuvalu,Meat
Central America and the Caribbean,Guatemala,Cosmetics
Asia,Vietnam,Personal Care
Europe,Iceland,Personal Care
Europe,Romania,Cereal
Europe,Slovakia,Beverages
Sub-Saharan Africa,Sudan,Snacks
Asia,Bangladesh,Office Supplies
Central America and the Caribbean,Belize,Vegetables
Middle East and North Africa,Oman,Beverages
Australia and Oceania,Nauru,Snacks
Sub-Saharan Africa,Cameroon,Cosmetics
Sub-Saharan Africa,Comoros,Vegetables
Middle East and North Africa,Morocco,Meat
Sub-Saharan Africa,Ghana,Clothes
Sub-Saharan Africa,Nigeria,Cereal
Europe,Belarus,Meat
Sub-Saharan Africa,South Sudan,Snacks
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages
Sub-Saharan Africa,Sierra Leone,Vegetables
Sub-Saharan Africa,Cote d'Ivoire,Beverages
Central America and the Caribbean,Haiti,Cereal
Middle East and North Africa,Qatar,Office Supplies
Middle East and North Africa,Bahrain,Fruits
Europe,Lithuania,Beverages
Sub-Saharan Africa,Namibia,Personal Care
Sub-Saharan Africa,Cape Verde,Personal Care
Middle East and North Africa,Algeria,Beverages
Sub-Saharan Africa,Gabon,Personal Care
Australia and Oceania,Kiribati,Meat
Europe,United Kingdom,Personal Care
Middle East and North Africa,Qatar,Personal Care
Middle East and North Africa,Bahrain,Fruits
Europe,Denmark,Baby Food
Asia,Taiwan,Household
Sub-Saharan Africa,Malawi,Meat
Asia,North Korea,Baby Food
Europe,Moldova ,Office Supplies
Sub-Saharan Africa,Swaziland,Baby Food
Europe,Albania,Beverages
Sub-Saharan Africa,Mauritania,Cosmetics
Central America and the Caribbean,Panama,Snacks
Middle East and North Africa,Syria,Snacks
Asia,South Korea,Beverages
Sub-Saharan Africa,Seychelles ,Baby Food
Europe,France,Personal Care
Central America and the Caribbean,Dominican Republic,Office Supplies
Central America and the Caribbean,Antigua and Barbuda ,Beverages
Central America and the Caribbean,Grenada,Personal Care
Australia and Oceania,Solomon Islands,Snacks
Europe,Czech Republic,Beverages
Middle East and North Africa,Iran,Baby Food
Europe,Montenegro,Fruits
Australia and Oceania,Kiribati,Clothes
Sub-Saharan Africa,Sierra Leone,Meat
Europe,Cyprus,Vegetables
Sub-Saharan Africa,Lesotho,Cosmetics
Central America and the Caribbean,Nicaragua,Household
Central America and the Caribbean,Haiti,Personal Care
Europe,Liechtenstein,Vegetables
Asia,Indonesia,Personal Care
Europe,Norway,Clothes
Australia and Oceania,Samoa ,Cosmetics
Sub-Saharan Africa,Mozambique,Baby Food
Central America and the Caribbean,Guatemala,Clothes
Sub-Saharan Africa,Mauritius ,Cosmetics
Europe,Georgia,Personal Care
Australia and Oceania,Tuvalu,Clothes
Sub-Saharan Africa,Togo,Clothes
Asia,Uzbekistan,Cosmetics
Middle East and North Africa,Bahrain,Baby Food
Europe,Bulgaria,Household
Europe,Cyprus,Beverages
Sub-Saharan Africa,Mauritania,Cereal
Sub-Saharan Africa,Malawi,Household
Middle East and North Africa,Jordan,Baby Food
Europe,Andorra,Office Supplies
Middle East and North Africa,Tunisia ,Beverages
Sub-Saharan Africa,Burkina Faso,Snacks
Asia,Indonesia,Baby Food
Middle East and North Africa,Iran,Meat
Sub-Saharan Africa,Sao Tome and Principe,Cereal
Middle East and North Africa,Lebanon,Household
Middle East and North Africa,Tunisia ,Snacks
Europe,Malta,Office Supplies
Asia,India,Clothes
Sub-Saharan Africa,Guinea-Bissau,Office Supplies
Middle East and North Africa,Syria,Snacks
Europe,Malta,Fruits
Middle East and North Africa,Jordan,Baby Food
Sub-Saharan Africa,Malawi,Fruits
Europe,Macedonia,Baby Food
Central America and the Caribbean,Dominica,Office Supplies
Sub-Saharan Africa,Equatorial Guinea,Fruits
Sub-Saharan Africa,Central African Republic,Meat
Middle East and North Africa,Israel,Snacks
Europe,Croatia,Baby Food
Asia,Malaysia,Personal Care
Sub-Saharan Africa,Seychelles ,Fruits
Australia and Oceania,Federated States of Micronesia,Vegetables
Asia,Brunei,Fruits
Central America and the Caribbean,Haiti,Vegetables
Sub-Saharan Africa,Central African Republic,Clothes
Asia,Taiwan,Clothes
Asia,Nepal,Office Supplies
Sub-Saharan Africa,The Gambia,Personal Care
Central America and the Caribbean,Jamaica,Vegetables
Asia,Myanmar,Office Supplies
Australia and Oceania,New Zealand,Household
Sub-Saharan Africa,Zimbabwe,Personal Care
Asia,Indonesia,Cereal
Europe,Andorra,Office Supplies
Asia,Cambodia,Cosmetics
Europe,Slovakia,Household
Europe,Estonia,Fruits
Asia,Myanmar,Cereal
Sub-Saharan Africa,Botswana,Vegetables
Sub-Saharan Africa,Swaziland,Beverages
Australia and Oceania,Marshall Islands,Cereal
Australia and Oceania,Fiji,Meat
Europe,Denmark,Cosmetics
Europe,Ukraine,Household
Middle East and North Africa,Turkey,Snacks
Middle East and North Africa,Lebanon,Cereal
Europe,Liechtenstein,Baby Food
Sub-Saharan Africa,Lesotho,Cereal
Sub-Saharan Africa,Burundi,Personal Care
Europe,Croatia,Snacks
Europe,Armenia,Cereal
Asia,Nepal,Vegetables
Central America and the Caribbean,Nicaragua,Clothes
Sub-Saharan Africa,Botswana,Cosmetics
Europe,Latvia,Personal Care
Sub-Saharan Africa,Senegal,Household
Europe,Sweden,Vegetables
Sub-Saharan Africa,Burundi,Cosmetics
Asia,Turkmenistan,Household
Europe,Romania,Vegetables
Sub-Saharan Africa,Comoros,Clothes
Sub-Saharan Africa,Gabon,Cereal
Sub-Saharan Africa,Uganda,Household
Europe,France,Personal Care
